ID,Title,Content,Excerpt,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product categories,Product tags,Product shipping classes,Image URL,Images Filename,Images Path,Images ID,Images Title,Images Caption,Images Description,Images Alt Text,Attachment URL,Attachments Filename,Attachments Path,Attachments ID,Attachments Title,Attachments Caption,Attachments Description,Attachments Alt Text,Slug,Attribute Name (Packages),Attribute Value (Packages),Attribute In Variations (Packages),Attribute Is Visible (Packages),Attribute Is Taxonomy (Packages),Attribute Position (Packages),Visibility,Stock Status,Regular Price,Sale Price,Featured,Weight,Length,Width,Height,SKU,Price,Manage Stock,Stock,Tax Status,Tax Class,Default Attributes
5028,DONUTS PANNACOTTA 69 GM,,,manually,236,,manually,108,,manually,469.57,,DOOTI DONUTS,simple,Bakery,"BREAD,PRODUCTS",,,,,,,,,,,,,,,,,,donuts-pannacotta-69-gm,packages,,no,no,yes,,,instock,180,,no,,,,,FZBRE0105,180,no,,none,15,
5032,DONUTS STRIPE 55 GM,,,manually,236,,manually,108,,manually,469.57,,DOOTI DONUTS,simple,Bakery,"BREAD,PRODUCTS",,,,,,,,,,,,,,,,,,donuts-stripe-55-gm,packages,,no,no,yes,,,instock,240,,no,,,,,FZBRE0106,240,no,,none,15,
5036,DONUTS TRIPLE CHOCOLATE 12 X 69 GM,,,manually,236,,manually,108,,manually,469.57,,DOOTI DONUTS,simple,Bakery,"BREAD,PRODUCTS",,,,,,,,,,,,,,,,,,donuts-triple-chocolate-12-x-69-gm,packages,,no,no,yes,,,instock,240,,no,,,,,FZBRE0107,240,no,,none,15,
5040,CHICKEN MORTADELLA WITH PEPPERS EURO GOURMET 1 KG,,,manually,236,,manually,108,,manually,469.57,,EURO GOURMET,simple,Frozen Foods,"CHICKEN,MORTADELLA",,,,,,,,,,,,,,,,,,chicken-mortadella-with-peppers-euro-gourmet-1-kg,packages,,no,no,yes,,,instock,404.15,,no,,,,,CHCHI0013,404.15,no,,none,15,
5042,SYRUP BANANA GIFFARD 100 CL,,,manually,236,,manually,108,,manually,469.57,,GIFFARD,simple,Grocery &amp; Food Cupboard,"BANANA,SYRUP",,,,,,,,,,,,,,,,,,syrup-banana-giffard-100-cl,packages,,no,no,yes,,,instock,300,,no,,,,,DRSYR0026,300,no,,none,15,
5044,SYRUP CARAMEL GIFFARD 100 CL,,,manually,236,,manually,108,,manually,469.57,,GIFFARD,simple,Grocery &amp; Food Cupboard,"CARAMEL,SYRUP",,,,,,,,,,,,,,,,,,syrup-caramel-giffard-100-cl,packages,,no,no,yes,,,instock,300,,no,,,,,DRSYR0068,300,no,,none,15,
5046,SYRUP CHOCOLATE GIFFARD 100 CL,,,manually,236,,manually,108,,manually,469.57,,GIFFARD,simple,Grocery &amp; Food Cupboard,"CHOCOLATE,SYRUP",,,,,,,,,,,,,,,,,,syrup-chocolate-giffard-100-cl,packages,,no,no,yes,,,instock,300,,no,,,,,DRSYR0069,300,no,,none,15,
5048,SYRUP HAZELNUT GIFFARD 100 CL,,,manually,236,,manually,108,,manually,469.57,,GIFFARD,simple,Grocery &amp; Food Cupboard,"HAZELNUT,SYRUP",,,,,,,,,,,,,,,,,,syrup-hazelnut-giffard-100-cl,packages,,no,no,yes,,,instock,300,,no,,,,,DRSYR0070,300,no,,none,15,
5050,SYRUP STRAWBERRY GIFFARD 100 CL,,,manually,236,,manually,108,,manually,469.57,,GIFFARD,simple,Grocery &amp; Food Cupboard,"STRAWBERRY,SYRUP",,,,,,,,,,,,,,,,,,syrup-strawberry-giffard-100-cl,packages,,no,no,yes,,,instock,300,,no,,,,,DRSYR0071,300,no,,none,15,
5052,MAYONAISE SACHET HELLMANS 10 GM,,,manually,236,,manually,108,,manually,469.57,,HELLMANS,simple,Grocery &amp; Food Cupboard,"MAYONAISE,SACHET",,,,,,,,,,,,,,,,,,mayonaise-sachet-hellmans-10-gm,packages,,no,no,yes,,,instock,1036,,no,,,,,DRMAY0004,1036,no,,none,0,
