ID,Title,Content,Excerpt,Date,Post Type,Permalink,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product Visibility,Product categories,Product tags,Status,Attribute Name (color),Attribute Value (color),Attribute In Variations (color),Attribute Is Visible (color),Attribute Is Taxonomy (color),Attribute Position (color),Stock Status,Regular Price,Sale Price,SKU,Manage Stock,Stock,Backorders,Tax Status,Tax Class
5025,DONUTS STRAWBERRY 70 GM,,1 X 1 TRAY,31-Dec-69,product,https://shop.ewdc.in/product/donuts-strawberry-70-gm/,manual,258,,manual,240,,manual,258,,DOOTI DONUTS,simple,visible,Bakery,"BREAD, PRODUCTS",publish,color,,no,no,no,,instock,240,,FZBRE0104,yes,72.78,no,taxable,standard
5028,DONUTS PANNACOTTA 69 GM,,1 X 1 TRAY,31-Dec-69,product,https://shop.ewdc.in/product/donuts-pannacotta-69-gm/,manual,198,,manual,180,,manual,198,,DOOTI DONUTS,simple,visible,Bakery,"BREAD, PRODUCTS",publish,color,,no,no,no,,instock,180,,FZBRE0105,yes,38.53,no,taxable,standard
5032,DONUTS STRIPE 55 GM,,1 X 1 TRAY,31-Dec-69,product,https://shop.ewdc.in/product/donuts-stripe-55-gm/,manual,258,,manual,240,,manual,258,,DOOTI DONUTS,simple,visible,Bakery,"BREAD, PRODUCTS",publish,color,,no,no,no,,instock,240,,FZBRE0106,yes,56.77,no,taxable,standard
5036,DONUTS TRIPLE CHOCOLATE 12 X 69 GM,,1 X 1 TRAY,31-Dec-69,product,https://shop.ewdc.in/product/donuts-triplechocolate-69-gm/,manual,258,,manual,240,,manual,258,,DOOTI DONUTS,simple,visible,Bakery,"BREAD,PRODUCTS",publish,color,,no,no,no,,instock,240,,FZBRE0107,yes,55.4,no,taxable,standard
5040,CHICKEN MORTADELLA WITH PEPPERS EURO GOURMET 1 KG,,1 X 1 PACKET,31-Dec-69,product,https://shop.ewdc.in/product/chicken-mortadella-wt-peppers-euro-gourmet/,manual,408.15,,manual,404.15,,manual,408.15,,EURO GOURMET,simple,visible,Frozen Foods,"CHICKEN, MORTADELLA",publish,color,,no,no,no,,outofstock,404.15,,CHCHI0013,yes,0,no,taxable,standard
5042,SYRUP BANANA GIFFARD 100 CL,,1 X 1 BOTTLE,31-Dec-69,product,https://shop.ewdc.in/product/syrup-banana-giffard-100-cl/,manual,302,,manual,300,,manual,302,,GIFFARD,simple,visible,Grocery &amp; Food Cupboard,"BANANA, SYRUP",publish,color,,no,no,no,,instock,300,,DRSYR0026,yes,6,no,taxable,standard
5044,SYRUP CARAMEL GIFFARD 100 CL,,1 X 1 BOTTLE,31-Dec-69,product,https://shop.ewdc.in/product/syrup-caramel-giffard-100-cl/,manual,301,,manual,300,,manual,301,,GIFFARD,simple,visible,Grocery &amp; Food Cupboard,"CARAMEL, SYRUP",publish,color,,no,no,no,,instock,300,,DRSYR0068,yes,4.8,no,taxable,standard
5046,SYRUP CHOCOLATE GIFFARD 100 CL,,1 X 1 BOTTLE,31-Dec-69,product,https://shop.ewdc.in/product/syrup-chocolate-giffard-100-cl/,manual,301,,manual,300,,manual,301,,GIFFARD,simple,visible,Grocery &amp; Food Cupboard,"CHOCOLATE, SYRUP",publish,color,,no,no,no,,instock,300,,DRSYR0069,yes,3.6,no,taxable,standard
5048,SYRUP HAZELNUT GIFFARD 100 CL,,1 X 1 BOTTLE,31-Dec-69,product,https://shop.ewdc.in/product/syrup-hazelnut-giffard-100-cl/,manual,301,,manual,300,,manual,301,,GIFFARD,simple,visible,Grocery &amp; Food Cupboard,"HAZELNUT, SYRUP",publish,color,,no,no,no,,instock,300,,DRSYR0070,yes,6,no,taxable,standard
5050,SYRUP STRAWBERRY GIFFARD 100 CL,,1 X 1 BOTTLE,31-Dec-69,product,https://shop.ewdc.in/product/syrup-strawberry-giffard-100-cl/,manual,301,,manual,300,,manual,301,,GIFFARD,simple,visible,Grocery &amp; Food Cupboard,"STRAWBERRY, SYRUP",publish,color,,no,no,no,,instock,300,,DRSYR0071,yes,3.6,no,taxable,standard
5052,MAYONAISE SACHET HELLMANS 10 GM,,1 X 1000 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/mayonaise-sachet-hellmans-10-gm/,manual,1054,,manual,1036,,manual,1054,,HELLMANS,simple,visible,Grocery &amp; Food Cupboard,"MAYONAISE, SACHET",publish,color,,no,no,no,,outofstock,1036,,DRMAY0004,yes,0,no,taxable,standard
5054,TOMATO KETCHUP PORTION HERMAN 10 GM,,1 X 1000 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/tomato-ketchup-portion-herman-10-gm/,manual,616,,manual,615,,manual,616,,HERMAN,simple,visible,Grocery &amp; Food Cupboard,"KETCHUP, TOMATO",publish,color,,no,no,no,,outofstock,615,,DRTOM0002,yes,0,no,taxable,standard
5056,GARBAGE ROLL OXO BIO HOTPACK 4 ROLLS,,1 X 1 CARTON,31-Dec-69,product,https://shop.ewdc.in/product/garbage-roll-oxo-bio-hotpack/,manual,618,,manual,600,,manual,618,,HOTPACK,simple,visible,Cleaning &amp; Household,"BAGS, GARBAGE, ROLLS",publish,color,,no,no,no,,instock,600,,AMBAG0169,yes,8.6,no,taxable,standard
5058,CAKE BOX 15 CM X 15 CM X 8 CM HOTPACK,,1 X 1 PACKET,31-Dec-69,product,https://shop.ewdc.in/product/cake-box-15-cm-x-15-cm-x-8-cm-hotpack/,manual,515,,manual,500,,manual,515,,HOTPACK,simple,visible,Cleaning &amp; Household,PACKING,publish,color,,no,no,no,,outofstock,500,,AMMSC1448,yes,0,no,taxable,standard
5061,CAKE BOX 30 CM X 30 CM X 120 CM HOTPACK,,1 X 1 PACKET,31-Dec-69,product,https://shop.ewdc.in/product/cake-box-30-cm-x-30-cm-x-120-cm-hotpack/,manual,1275,,manual,1260,,manual,1275,,HOTPACK,simple,visible,Cleaning &amp; Household,PACKING,publish,color,,no,no,no,,outofstock,1260,,AMMSC1449,yes,0,no,taxable,standard
5063,"CAKE BOARD 12"" HOTPACK 50 PIECE",,1 X 1 PACKET,31-Dec-69,product,https://shop.ewdc.in/product/cake-board-12-hotpack/,manual,425,,manual,410,,manual,425,,HOTPACK,simple,visible,Cleaning &amp; Household,PACKING,publish,color,,no,no,no,,outofstock,410,,AMMSC1450,yes,0,no,taxable,standard
